date,cellvalue,n_cells,pct_cells
2003-01-15,3,13,0.06565656565656566
2003-01-15,7,163,0.8232323232323232
2003-01-15,17,3,0.015151515151515152
2003-01-15,NA,19,0.09595959595959595
2003-02-15,7,198,1
2003-02-15,NA,0,0
2003-03-15,3,84,0.42424242424242425
2003-03-15,7,97,0.4898989898989899
2003-03-15,17,3,0.015151515151515152
2003-03-15,NA,14,0.0707070707070707
2003-04-15,7,52,0.26262626262626265
2003-04-15,14,14,0.0707070707070707
2003-04-15,NA,132,0.6666666666666666
2003-05-15,3,2,0.010101010101010102
2003-05-15,7,172,0.8686868686868687
2003-05-15,14,13,0.06565656565656566
2003-05-15,NA,11,0.05555555555555555
2003-06-15,7,4,0.020202020202020204
2003-06-15,14,168,0.8484848484848485
2003-06-15,21,26,0.13131313131313133
2003-06-15,NA,0,0
2003-07-15,3,2,0.010101010101010102
2003-07-15,7,89,0.4494949494949495
2003-07-15,14,11,0.05555555555555555
2003-07-15,15,15,0.07575757575757576
2003-07-15,17,6,0.030303030303030304
2003-07-15,NA,75,0.3787878787878788
2003-08-15,3,131,0.6616161616161617
2003-08-15,13,32,0.16161616161616163
2003-08-15,15,9,0.045454545454545456
2003-08-15,18,17,0.08585858585858586
2003-08-15,NA,9,0.045454545454545456
2003-09-15,3,147,0.7424242424242424
2003-09-15,15,51,0.25757575757575757
2003-09-15,NA,0,0
2003-10-15,3,167,0.8434343434343434
2003-10-15,7,17,0.08585858585858586
2003-10-15,15,11,0.05555555555555555
2003-10-15,NA,3,0.015151515151515152
2003-11-15,7,44,0.2222222222222222
2003-11-15,NA,154,0.7777777777777778
2003-12-15,7,191,0.9646464646464646
2003-12-15,14,5,0.025252525252525252
2003-12-15,17,1,0.005050505050505051
2003-12-15,21,1,0.005050505050505051
2003-12-15,NA,0,0
2004-01-15,3,5,0.025252525252525252
2004-01-15,7,193,0.9747474747474747
2004-01-15,NA,0,0
2004-02-15,3,50,0.25252525252525254
2004-02-15,7,142,0.7171717171717171
2004-02-15,17,2,0.010101010101010102
2004-02-15,NA,4,0.020202020202020204
2004-03-15,3,41,0.20707070707070707
2004-03-15,7,104,0.5252525252525253
2004-03-15,13,1,0.005050505050505051
2004-03-15,16,20,0.10101010101010101
2004-03-15,NA,32,0.16161616161616163
2004-04-15,7,112,0.5656565656565656
2004-04-15,14,11,0.05555555555555555
2004-04-15,15,2,0.010101010101010102
2004-04-15,21,73,0.3686868686868687
2004-04-15,NA,0,0
2004-05-15,7,87,0.4393939393939394
2004-05-15,14,78,0.3939393939393939
2004-05-15,NA,33,0.16666666666666666
2004-06-15,7,26,0.13131313131313133
2004-06-15,14,114,0.5757575757575758
2004-06-15,15,2,0.010101010101010102
2004-06-15,21,1,0.005050505050505051
2004-06-15,NA,55,0.2777777777777778
2004-07-15,3,4,0.020202020202020204
2004-07-15,7,7,0.03535353535353535
2004-07-15,13,18,0.09090909090909091
2004-07-15,15,147,0.7424242424242424
2004-07-15,17,1,0.005050505050505051
2004-07-15,18,4,0.020202020202020204
2004-07-15,27,1,0.005050505050505051
2004-07-15,NA,16,0.08080808080808081
2004-08-15,3,18,0.09090909090909091
2004-08-15,13,92,0.46464646464646464
2004-08-15,15,4,0.020202020202020204
2004-08-15,18,47,0.23737373737373738
2004-08-15,NA,37,0.18686868686868688
2004-09-15,3,156,0.7878787878787878
2004-09-15,13,32,0.16161616161616163
2004-09-15,15,9,0.045454545454545456
2004-09-15,NA,1,0.005050505050505051
2004-10-15,3,81,0.4090909090909091
2004-10-15,7,72,0.36363636363636365
2004-10-15,15,45,0.22727272727272727
2004-10-15,NA,0,0
2004-11-15,3,39,0.19696969696969696
2004-11-15,7,138,0.696969696969697
2004-11-15,15,14,0.0707070707070707
2004-11-15,16,1,0.005050505050505051
2004-11-15,NA,6,0.030303030303030304
2004-12-15,7,198,1
2004-12-15,NA,0,0
2005-01-15,7,145,0.7323232323232324
2005-01-15,14,6,0.030303030303030304
2005-01-15,15,6,0.030303030303030304
2005-01-15,16,3,0.015151515151515152
2005-01-15,NA,38,0.1919191919191919
2005-02-15,3,25,0.12626262626262627
2005-02-15,7,116,0.5858585858585859
2005-02-15,15,19,0.09595959595959595
2005-02-15,NA,38,0.1919191919191919
2005-03-15,3,120,0.6060606060606061
2005-03-15,7,33,0.16666666666666666
2005-03-15,15,3,0.015151515151515152
2005-03-15,NA,42,0.21212121212121213
2005-04-15,7,32,0.16161616161616163
2005-04-15,NA,166,0.8383838383838383
2005-05-15,7,152,0.7676767676767676
2005-05-15,14,11,0.05555555555555555
2005-05-15,15,2,0.010101010101010102
2005-05-15,16,33,0.16666666666666666
2005-05-15,NA,0,0
2005-06-15,3,112,0.5656565656565656
2005-06-15,16,34,0.1717171717171717
2005-06-15,17,4,0.020202020202020204
2005-06-15,18,25,0.12626262626262627
2005-06-15,NA,23,0.11616161616161616
2005-07-15,3,157,0.7929292929292929
2005-07-15,13,31,0.15656565656565657
2005-07-15,15,1,0.005050505050505051
2005-07-15,18,2,0.010101010101010102
2005-07-15,NA,7,0.03535353535353535
2005-08-15,3,104,0.5252525252525253
2005-08-15,13,94,0.47474747474747475
2005-08-15,NA,0,0
2005-09-15,3,58,0.29292929292929293
2005-09-15,13,140,0.7070707070707071
2005-09-15,NA,0,0
2005-10-15,3,72,0.36363636363636365
2005-10-15,7,109,0.5505050505050505
2005-10-15,13,1,0.005050505050505051
2005-10-15,NA,16,0.08080808080808081
2005-11-15,7,198,1
2005-11-15,NA,0,0
2005-12-15,3,9,0.045454545454545456
2005-12-15,7,171,0.8636363636363636
2005-12-15,14,4,0.020202020202020204
2005-12-15,NA,14,0.0707070707070707
2006-01-15,3,18,0.09090909090909091
2006-01-15,7,63,0.3181818181818182
2006-01-15,13,3,0.015151515151515152
2006-01-15,NA,114,0.5757575757575758
2006-02-15,3,17,0.08585858585858586
2006-02-15,7,95,0.4797979797979798
2006-02-15,13,1,0.005050505050505051
2006-02-15,14,2,0.010101010101010102
2006-02-15,15,46,0.23232323232323232
2006-02-15,NA,37,0.18686868686868688
2006-03-15,3,122,0.6161616161616161
2006-03-15,7,30,0.15151515151515152
2006-03-15,17,1,0.005050505050505051
2006-03-15,NA,45,0.22727272727272727
2006-04-15,3,43,0.21717171717171718
2006-04-15,7,80,0.40404040404040403
2006-04-15,15,6,0.030303030303030304
2006-04-15,16,43,0.21717171717171718
2006-04-15,17,4,0.020202020202020204
2006-04-15,NA,22,0.1111111111111111
2006-05-15,7,58,0.29292929292929293
2006-05-15,NA,140,0.7070707070707071
2006-06-15,7,4,0.020202020202020204
2006-06-15,14,17,0.08585858585858586
2006-06-15,15,16,0.08080808080808081
2006-06-15,16,6,0.030303030303030304
2006-06-15,21,24,0.12121212121212122
2006-06-15,NA,131,0.6616161616161617
2006-07-15,13,24,0.12121212121212122
2006-07-15,15,168,0.8484848484848485
2006-07-15,18,2,0.010101010101010102
2006-07-15,NA,4,0.020202020202020204
2006-08-15,3,44,0.2222222222222222
2006-08-15,13,76,0.3838383838383838
2006-08-15,15,78,0.3939393939393939
2006-08-15,NA,0,0
2006-09-15,3,140,0.7070707070707071
2006-09-15,13,30,0.15151515151515152
2006-09-15,15,14,0.0707070707070707
2006-09-15,NA,14,0.0707070707070707
2006-10-15,3,36,0.18181818181818182
2006-10-15,7,87,0.4393939393939394
2006-10-15,13,1,0.005050505050505051
2006-10-15,15,26,0.13131313131313133
2006-10-15,17,2,0.010101010101010102
2006-10-15,NA,46,0.23232323232323232
2006-11-15,7,198,1
2006-11-15,NA,0,0
2006-12-15,3,39,0.19696969696969696
2006-12-15,7,84,0.42424242424242425
2006-12-15,NA,75,0.3787878787878788
2007-01-15,3,15,0.07575757575757576
2007-01-15,7,169,0.8535353535353535
2007-01-15,13,2,0.010101010101010102
2007-01-15,14,5,0.025252525252525252
2007-01-15,15,2,0.010101010101010102
2007-01-15,NA,5,0.025252525252525252
2007-02-15,3,9,0.045454545454545456
2007-02-15,7,2,0.010101010101010102
2007-02-15,NA,187,0.9444444444444444
2007-03-15,7,9,0.045454545454545456
2007-03-15,14,68,0.3434343434343434
2007-03-15,15,11,0.05555555555555555
2007-03-15,16,13,0.06565656565656566
2007-03-15,21,4,0.020202020202020204
2007-03-15,27,1,0.005050505050505051
2007-03-15,NA,92,0.46464646464646464
2007-04-15,7,76,0.3838383838383838
2007-04-15,14,24,0.12121212121212122
2007-04-15,NA,98,0.494949494949495
2007-05-15,7,143,0.7222222222222222
2007-05-15,14,11,0.05555555555555555
2007-05-15,17,2,0.010101010101010102
2007-05-15,NA,42,0.21212121212121213
2007-06-15,3,9,0.045454545454545456
2007-06-15,7,64,0.32323232323232326
2007-06-15,NA,125,0.6313131313131313
2007-07-15,3,100,0.5050505050505051
2007-07-15,7,49,0.2474747474747475
2007-07-15,15,38,0.1919191919191919
2007-07-15,17,6,0.030303030303030304
2007-07-15,NA,5,0.025252525252525252
2007-08-15,3,84,0.42424242424242425
2007-08-15,13,23,0.11616161616161616
2007-08-15,15,65,0.3282828282828283
2007-08-15,NA,26,0.13131313131313133
2007-09-15,3,144,0.7272727272727273
2007-09-15,13,47,0.23737373737373738
2007-09-15,15,1,0.005050505050505051
2007-09-15,NA,6,0.030303030303030304
2007-10-15,3,19,0.09595959595959595
2007-10-15,7,179,0.9040404040404041
2007-10-15,NA,0,0
2007-11-15,3,1,0.005050505050505051
2007-11-15,7,193,0.9747474747474747
2007-11-15,NA,4,0.020202020202020204
2007-12-15,3,11,0.05555555555555555
2007-12-15,7,27,0.13636363636363635
2007-12-15,13,1,0.005050505050505051
2007-12-15,17,1,0.005050505050505051
2007-12-15,NA,158,0.797979797979798
2008-01-15,3,4,0.020202020202020204
2008-01-15,7,96,0.48484848484848486
2008-01-15,14,34,0.1717171717171717
2008-01-15,NA,64,0.32323232323232326
2008-02-15,3,78,0.3939393939393939
2008-02-15,7,118,0.5959595959595959
2008-02-15,17,2,0.010101010101010102
2008-02-15,NA,0,0
2008-03-15,3,6,0.030303030303030304
2008-03-15,7,130,0.6565656565656566
2008-03-15,17,1,0.005050505050505051
2008-03-15,NA,61,0.30808080808080807
2008-04-15,3,2,0.010101010101010102
2008-04-15,7,152,0.7676767676767676
2008-04-15,14,2,0.010101010101010102
2008-04-15,16,4,0.020202020202020204
2008-04-15,17,1,0.005050505050505051
2008-04-15,18,1,0.005050505050505051
2008-04-15,NA,36,0.18181818181818182
2008-05-15,7,14,0.0707070707070707
2008-05-15,14,173,0.8737373737373737
2008-05-15,21,1,0.005050505050505051
2008-05-15,NA,10,0.050505050505050504
2008-06-15,3,71,0.35858585858585856
2008-06-15,7,99,0.5
2008-06-15,13,1,0.005050505050505051
2008-06-15,15,27,0.13636363636363635
2008-06-15,NA,0,0
2008-07-15,3,110,0.5555555555555556
2008-07-15,13,16,0.08080808080808081
2008-07-15,15,71,0.35858585858585856
2008-07-15,NA,1,0.005050505050505051
2008-08-15,3,84,0.42424242424242425
2008-08-15,13,114,0.5757575757575758
2008-08-15,NA,0,0
2008-09-15,3,130,0.6565656565656566
2008-09-15,13,21,0.10606060606060606
2008-09-15,15,46,0.23232323232323232
2008-09-15,NA,1,0.005050505050505051
2008-10-15,3,130,0.6565656565656566
2008-10-15,7,15,0.07575757575757576
2008-10-15,13,12,0.06060606060606061
2008-10-15,15,3,0.015151515151515152
2008-10-15,NA,38,0.1919191919191919
2008-11-15,3,4,0.020202020202020204
2008-11-15,7,194,0.9797979797979798
2008-11-15,NA,0,0
2008-12-15,3,8,0.04040404040404041
2008-12-15,7,45,0.22727272727272727
2008-12-15,15,2,0.010101010101010102
2008-12-15,17,6,0.030303030303030304
2008-12-15,NA,137,0.6919191919191919
2009-01-15,3,4,0.020202020202020204
2009-01-15,7,178,0.898989898989899
2009-01-15,NA,16,0.08080808080808081
2009-02-15,3,1,0.005050505050505051
2009-02-15,7,144,0.7272727272727273
2009-02-15,14,17,0.08585858585858586
2009-02-15,16,34,0.1717171717171717
2009-02-15,17,1,0.005050505050505051
