date,cellvalue,n_cells,pct_cells
2003-01-15,3,4,0.031746031746031744
2003-01-15,7,122,0.9682539682539683
2003-01-15,NA,0,0
2003-02-15,3,26,0.20634920634920634
2003-02-15,7,98,0.7777777777777778
2003-02-15,NA,2,0.015873015873015872
2003-03-15,7,126,1
2003-03-15,NA,0,0
2003-04-15,7,64,0.5079365079365079
2003-04-15,14,22,0.1746031746031746
2003-04-15,NA,40,0.31746031746031744
2003-05-15,3,14,0.1111111111111111
2003-05-15,7,82,0.6507936507936508
2003-05-15,15,7,0.05555555555555555
2003-05-15,17,1,0.007936507936507936
2003-05-15,NA,22,0.1746031746031746
2003-06-15,7,70,0.5555555555555556
2003-06-15,15,21,0.16666666666666666
2003-06-15,17,1,0.007936507936507936
2003-06-15,NA,34,0.2698412698412698
2003-07-15,3,64,0.5079365079365079
2003-07-15,7,40,0.31746031746031744
2003-07-15,15,22,0.1746031746031746
2003-07-15,NA,0,0
2003-08-15,3,125,0.9920634920634921
2003-08-15,13,1,0.007936507936507936
2003-08-15,NA,0,0
2003-09-15,3,94,0.746031746031746
2003-09-15,13,31,0.24603174603174602
2003-09-15,15,1,0.007936507936507936
2003-09-15,NA,0,0
2003-10-15,3,78,0.6190476190476191
2003-10-15,7,27,0.21428571428571427
2003-10-15,15,9,0.07142857142857142
2003-10-15,NA,12,0.09523809523809523
2003-11-15,7,121,0.9603174603174603
2003-11-15,17,2,0.015873015873015872
2003-11-15,NA,3,0.023809523809523808
2003-12-15,3,5,0.03968253968253968
2003-12-15,7,46,0.36507936507936506
2003-12-15,NA,75,0.5952380952380952
2004-01-15,7,105,0.8333333333333334
2004-01-15,14,9,0.07142857142857142
2004-01-15,15,5,0.03968253968253968
2004-01-15,NA,7,0.05555555555555555
2004-02-15,3,28,0.2222222222222222
2004-02-15,7,97,0.7698412698412699
2004-02-15,NA,1,0.007936507936507936
2004-03-15,3,39,0.30952380952380953
2004-03-15,7,15,0.11904761904761904
2004-03-15,17,2,0.015873015873015872
2004-03-15,NA,70,0.5555555555555556
2004-04-15,7,123,0.9761904761904762
2004-04-15,NA,3,0.023809523809523808
2004-05-15,3,2,0.015873015873015872
2004-05-15,7,96,0.7619047619047619
2004-05-15,14,5,0.03968253968253968
2004-05-15,NA,23,0.18253968253968253
2004-06-15,3,116,0.9206349206349206
2004-06-15,13,6,0.047619047619047616
2004-06-15,15,1,0.007936507936507936
2004-06-15,NA,3,0.023809523809523808
2004-07-15,3,76,0.6031746031746031
2004-07-15,13,38,0.30158730158730157
2004-07-15,NA,12,0.09523809523809523
2004-08-15,3,56,0.4444444444444444
2004-08-15,13,47,0.373015873015873
2004-08-15,NA,23,0.18253968253968253
2004-09-15,3,126,1
2004-09-15,NA,0,0
2004-10-15,3,122,0.9682539682539683
2004-10-15,7,4,0.031746031746031744
2004-10-15,NA,0,0
2004-11-15,7,120,0.9523809523809523
2004-11-15,NA,6,0.047619047619047616
2004-12-15,3,13,0.10317460317460317
2004-12-15,7,112,0.8888888888888888
2004-12-15,15,1,0.007936507936507936
2004-12-15,NA,0,0
2005-01-15,3,17,0.1349206349206349
2005-01-15,7,100,0.7936507936507936
2005-01-15,NA,9,0.07142857142857142
2005-02-15,3,38,0.30158730158730157
2005-02-15,7,80,0.6349206349206349
2005-02-15,17,1,0.007936507936507936
2005-02-15,NA,7,0.05555555555555555
2005-03-15,3,20,0.15873015873015872
2005-03-15,7,104,0.8253968253968254
2005-03-15,NA,2,0.015873015873015872
2005-04-15,3,24,0.19047619047619047
2005-04-15,7,101,0.8015873015873016
2005-04-15,NA,1,0.007936507936507936
2005-05-15,7,110,0.873015873015873
2005-05-15,15,1,0.007936507936507936
2005-05-15,17,2,0.015873015873015872
2005-05-15,27,1,0.007936507936507936
2005-05-15,NA,12,0.09523809523809523
2005-06-15,3,47,0.373015873015873
2005-06-15,7,61,0.48412698412698413
2005-06-15,13,4,0.031746031746031744
2005-06-15,17,4,0.031746031746031744
2005-06-15,NA,10,0.07936507936507936
2005-07-15,3,29,0.23015873015873015
2005-07-15,13,36,0.2857142857142857
2005-07-15,NA,61,0.48412698412698413
2005-08-15,3,85,0.6746031746031746
2005-08-15,13,40,0.31746031746031744
2005-08-15,NA,1,0.007936507936507936
2005-09-15,3,17,0.1349206349206349
2005-09-15,13,105,0.8333333333333334
2005-09-15,NA,4,0.031746031746031744
2005-10-15,3,104,0.8253968253968254
2005-10-15,13,5,0.03968253968253968
2005-10-15,NA,17,0.1349206349206349
2005-11-15,3,12,0.09523809523809523
2005-11-15,7,94,0.746031746031746
2005-11-15,NA,20,0.15873015873015872
2005-12-15,3,11,0.0873015873015873
2005-12-15,7,83,0.6587301587301587
2005-12-15,15,4,0.031746031746031744
2005-12-15,17,3,0.023809523809523808
2005-12-15,NA,25,0.1984126984126984
2006-01-15,3,20,0.15873015873015872
2006-01-15,7,56,0.4444444444444444
2006-01-15,17,2,0.015873015873015872
2006-01-15,NA,48,0.38095238095238093
2006-02-15,3,67,0.5317460317460317
2006-02-15,7,36,0.2857142857142857
2006-02-15,13,1,0.007936507936507936
2006-02-15,17,1,0.007936507936507936
2006-02-15,NA,21,0.16666666666666666
2006-03-15,3,5,0.03968253968253968
2006-03-15,7,101,0.8015873015873016
2006-03-15,NA,20,0.15873015873015872
2006-04-15,3,18,0.14285714285714285
2006-04-15,7,42,0.3333333333333333
2006-04-15,17,3,0.023809523809523808
2006-04-15,NA,63,0.5
2006-05-15,3,29,0.23015873015873015
2006-05-15,7,28,0.2222222222222222
2006-05-15,13,1,0.007936507936507936
2006-05-15,17,2,0.015873015873015872
2006-05-15,NA,66,0.5238095238095238
2006-06-15,7,125,0.9920634920634921
2006-06-15,15,1,0.007936507936507936
2006-06-15,NA,0,0
2006-07-15,3,71,0.5634920634920635
2006-07-15,13,44,0.3492063492063492
2006-07-15,15,3,0.023809523809523808
2006-07-15,17,2,0.015873015873015872
2006-07-15,NA,6,0.047619047619047616
2006-08-15,3,116,0.9206349206349206
2006-08-15,13,10,0.07936507936507936
2006-08-15,NA,0,0
2006-09-15,3,59,0.46825396825396826
2006-09-15,15,59,0.46825396825396826
2006-09-15,NA,8,0.06349206349206349
2006-10-15,3,69,0.5476190476190477
2006-10-15,7,1,0.007936507936507936
2006-10-15,13,37,0.29365079365079366
2006-10-15,15,2,0.015873015873015872
2006-10-15,NA,17,0.1349206349206349
2006-11-15,3,2,0.015873015873015872
2006-11-15,7,124,0.9841269841269841
2006-11-15,NA,0,0
2006-12-15,3,14,0.1111111111111111
