date,cellvalue,n_cells,pct_cells
2003-01-15,3,7,0.4666666666666667
2003-01-15,7,8,0.5333333333333333
2003-01-15,NA,0,0
2003-02-15,3,3,0.2
2003-02-15,7,1,0.06666666666666667
2003-02-15,17,1,0.06666666666666667
2003-02-15,NA,10,0.6666666666666666
2003-03-15,3,6,0.4
2003-03-15,7,7,0.4666666666666667
2003-03-15,NA,2,0.13333333333333333
2003-04-15,NA,15,1
2003-05-15,7,7,0.4666666666666667
2003-05-15,14,8,0.5333333333333333
2003-05-15,NA,0,0
2003-06-15,3,6,0.4
2003-06-15,NA,9,0.6
2003-07-15,3,7,0.4375
2003-07-15,5,4,0.25
2003-07-15,13,5,0.3125
2003-08-15,3,12,0.75
2003-08-15,5,2,0.125
2003-08-15,13,2,0.125
2003-09-15,3,5,0.3333333333333333
2003-09-15,13,7,0.4666666666666667
2003-09-15,NA,3,0.2
2003-10-15,3,11,0.6875
2003-10-15,13,5,0.3125
2003-11-15,3,10,0.6666666666666666
2003-11-15,7,5,0.3333333333333333
2003-11-15,NA,0,0
2003-12-15,7,6,0.4
2003-12-15,NA,9,0.6
2004-01-15,7,16,1
2004-02-15,3,7,0.4666666666666667
2004-02-15,7,4,0.26666666666666666
2004-02-15,NA,4,0.26666666666666666
2004-03-15,3,10,0.6666666666666666
2004-03-15,7,3,0.2
2004-03-15,15,1,0.06666666666666667
2004-03-15,NA,1,0.06666666666666667
2004-04-15,7,16,1
2004-05-15,3,14,0.875
2004-05-15,7,2,0.125
2004-06-15,3,3,0.2
2004-06-15,NA,12,0.8
2004-07-15,5,7,0.4666666666666667
2004-07-15,13,7,0.4666666666666667
2004-07-15,NA,1,0.06666666666666667
2004-08-15,3,1,0.06666666666666667
2004-08-15,5,5,0.3333333333333333
2004-08-15,13,9,0.6
2004-08-15,NA,0,0
2004-09-15,3,3,0.2
2004-09-15,5,2,0.13333333333333333
2004-09-15,13,3,0.2
2004-09-15,NA,7,0.4666666666666667
2004-10-15,3,11,0.7333333333333333
2004-10-15,13,2,0.13333333333333333
2004-10-15,NA,2,0.13333333333333333
2004-11-15,3,9,0.6
2004-11-15,7,2,0.13333333333333333
2004-11-15,15,3,0.2
2004-11-15,NA,1,0.06666666666666667
2004-12-15,7,16,1
2005-01-15,7,2,0.13333333333333333
2005-01-15,15,5,0.3333333333333333
2005-01-15,NA,8,0.5333333333333333
2005-02-15,3,3,0.2
2005-02-15,7,7,0.4666666666666667
2005-02-15,NA,5,0.3333333333333333
2005-03-15,3,9,0.5625
2005-03-15,7,7,0.4375
2005-04-15,3,1,0.06666666666666667
2005-04-15,7,7,0.4666666666666667
2005-04-15,NA,7,0.4666666666666667
2005-05-15,3,16,1
2005-06-15,3,14,0.9333333333333333
2005-06-15,13,1,0.06666666666666667
2005-06-15,NA,0,0
2005-07-15,3,7,0.4666666666666667
2005-07-15,13,8,0.5333333333333333
2005-07-15,NA,0,0
2005-08-15,3,5,0.3125
2005-08-15,5,6,0.375
2005-08-15,13,4,0.25
2005-08-15,15,1,0.0625
2005-09-15,3,9,0.5625
2005-09-15,5,1,0.0625
2005-09-15,13,6,0.375
2005-10-15,3,10,0.6666666666666666
2005-10-15,13,1,0.06666666666666667
2005-10-15,15,2,0.13333333333333333
2005-10-15,NA,2,0.13333333333333333
2005-11-15,3,1,0.0625
2005-11-15,7,8,0.5
2005-11-15,15,7,0.4375
2005-12-15,3,1,0.0625
2005-12-15,7,15,0.9375
2006-01-15,3,1,0.06666666666666667
2006-01-15,7,14,0.9333333333333333
2006-01-15,NA,0,0
2006-02-15,3,9,0.5625
2006-02-15,7,7,0.4375
2006-03-15,7,16,1
2006-04-15,7,13,0.8666666666666667
2006-04-15,NA,2,0.13333333333333333
2006-05-15,3,11,0.6875
2006-05-15,7,4,0.25
2006-05-15,13,1,0.0625
2006-06-15,3,3,0.2
2006-06-15,13,6,0.4
2006-06-15,17,1,0.06666666666666667
