date,cellvalue,n_cells,pct_cells
2003-01-15,15,135,0.4041916167664671
2003-01-15,21,156,0.46706586826347307
2003-01-15,27,27,0.08083832335329341
2003-01-15,NA,16,0.04790419161676647
2003-02-15,13,1,0.0029940119760479044
2003-02-15,15,165,0.4940119760479042
2003-02-15,21,114,0.3413173652694611
2003-02-15,27,42,0.12574850299401197
2003-02-15,NA,12,0.03592814371257485
2003-03-15,13,34,0.10179640718562874
2003-03-15,15,153,0.45808383233532934
2003-03-15,21,94,0.281437125748503
2003-03-15,27,46,0.1377245508982036
2003-03-15,NA,7,0.020958083832335328
2003-04-15,3,17,0.05089820359281437
2003-04-15,13,15,0.04491017964071856
2003-04-15,15,126,0.3772455089820359
2003-04-15,17,1,0.0029940119760479044
2003-04-15,21,36,0.10778443113772455
2003-04-15,27,56,0.16766467065868262
2003-04-15,NA,83,0.24850299401197604
2003-05-15,3,6,0.017964071856287425
2003-05-15,13,36,0.10778443113772455
2003-05-15,15,131,0.39221556886227543
2003-05-15,17,1,0.0029940119760479044
2003-05-15,18,1,0.0029940119760479044
2003-05-15,21,83,0.24850299401197604
2003-05-15,27,29,0.08682634730538923
2003-05-15,NA,47,0.1407185628742515
2003-06-15,3,35,0.10479041916167664
2003-06-15,13,7,0.020958083832335328
2003-06-15,15,133,0.39820359281437123
2003-06-15,21,90,0.2694610778443114
2003-06-15,27,26,0.07784431137724551
2003-06-15,NA,43,0.12874251497005987
2003-07-15,3,12,0.03592814371257485
2003-07-15,13,11,0.03293413173652695
2003-07-15,15,158,0.47305389221556887
2003-07-15,21,61,0.18263473053892215
2003-07-15,27,28,0.08383233532934131
2003-07-15,NA,64,0.19161676646706588
2003-08-15,3,15,0.04491017964071856
2003-08-15,13,16,0.04790419161676647
2003-08-15,15,144,0.4311377245508982
2003-08-15,21,64,0.19161676646706588
2003-08-15,27,33,0.09880239520958084
2003-08-15,NA,62,0.18562874251497005
2003-09-15,3,20,0.059880239520958084
2003-09-15,13,1,0.0029940119760479044
2003-09-15,15,159,0.47604790419161674
2003-09-15,21,99,0.2964071856287425
2003-09-15,27,32,0.09580838323353294
2003-09-15,NA,23,0.0688622754491018
2003-10-15,3,5,0.014970059880239521
2003-10-15,15,139,0.4161676646706587
2003-10-15,21,155,0.46407185628742514
2003-10-15,27,33,0.09880239520958084
2003-10-15,NA,2,0.005988023952095809
2003-11-15,3,10,0.029940119760479042
2003-11-15,15,139,0.4161676646706587
2003-11-15,21,171,0.5119760479041916
2003-11-15,27,6,0.017964071856287425
2003-11-15,NA,8,0.023952095808383235
2003-12-15,15,129,0.38622754491017963
2003-12-15,21,179,0.5359281437125748
2003-12-15,27,5,0.014970059880239521
2003-12-15,NA,21,0.06287425149700598
2004-01-15,3,6,0.017964071856287425
2004-01-15,15,178,0.5329341317365269
2004-01-15,21,102,0.30538922155688625
2004-01-15,27,32,0.09580838323353294
2004-01-15,NA,16,0.04790419161676647
2004-02-15,3,6,0.017964071856287425
2004-02-15,13,13,0.038922155688622756
2004-02-15,15,178,0.5329341317365269
2004-02-15,21,80,0.23952095808383234
2004-02-15,27,44,0.1317365269461078
2004-02-15,NA,13,0.038922155688622756
2004-03-15,3,1,0.0029940119760479044
2004-03-15,13,56,0.16766467065868262
