date,cellvalue,n_cells,pct_cells
2003-01-15,7,9,1
2003-01-15,NA,0,0
2003-02-15,3,2,0.2222222222222222
2003-02-15,7,7,0.7777777777777778
2003-02-15,NA,0,0
2003-03-15,3,1,0.1111111111111111
2003-03-15,7,8,0.8888888888888888
2003-03-15,NA,0,0
2003-04-15,3,1,0.1111111111111111
2003-04-15,7,2,0.2222222222222222
2003-04-15,17,2,0.2222222222222222
2003-04-15,NA,4,0.4444444444444444
2003-05-15,3,1,0.1111111111111111
2003-05-15,13,5,0.5555555555555556
2003-05-15,17,2,0.2222222222222222
2003-05-15,NA,1,0.1111111111111111
2003-06-15,3,9,1
2003-06-15,NA,0,0
2003-07-15,3,4,0.4444444444444444
2003-07-15,5,2,0.2222222222222222
2003-07-15,13,3,0.3333333333333333
2003-07-15,NA,0,0
2003-08-15,5,1,0.1111111111111111
2003-08-15,13,8,0.8888888888888888
2003-08-15,NA,0,0
2003-09-15,3,9,1
2003-09-15,NA,0,0
2003-10-15,3,7,0.7777777777777778
2003-10-15,13,2,0.2222222222222222
2003-10-15,NA,0,0
2003-11-15,3,1,0.1111111111111111
2003-11-15,7,8,0.8888888888888888
2003-11-15,NA,0,0
2003-12-15,7,8,0.8888888888888888
2003-12-15,NA,1,0.1111111111111111
2004-01-15,7,9,1
2004-01-15,NA,0,0
2004-02-15,3,9,1
2004-02-15,NA,0,0
2004-03-15,3,5,0.5555555555555556
2004-03-15,7,1,0.1111111111111111
2004-03-15,NA,3,0.3333333333333333
2004-04-15,7,9,1
2004-04-15,NA,0,0
2004-05-15,3,9,1
2004-05-15,NA,0,0
2004-06-15,3,5,0.5555555555555556
2004-06-15,13,4,0.4444444444444444
2004-06-15,NA,0,0
2004-07-15,5,1,0.1111111111111111
2004-07-15,13,8,0.8888888888888888
2004-07-15,NA,0,0
2004-08-15,5,8,0.8888888888888888
2004-08-15,13,1,0.1111111111111111
2004-08-15,NA,0,0
2004-09-15,3,4,0.4444444444444444
2004-09-15,5,5,0.5555555555555556
2004-09-15,NA,0,0
2004-10-15,5,2,0.2222222222222222
2004-10-15,13,3,0.3333333333333333
2004-10-15,NA,4,0.4444444444444444
2004-11-15,3,9,1
2004-11-15,NA,0,0
2004-12-15,3,9,1
2004-12-15,NA,0,0
2005-01-15,7,9,1
2005-01-15,NA,0,0
2005-02-15,7,5,0.5555555555555556
2005-02-15,15,1,0.1111111111111111
2005-02-15,NA,3,0.3333333333333333
2005-03-15,3,9,1
2005-03-15,NA,0,0
2005-04-15,3,8,0.8888888888888888
2005-04-15,NA,1,0.1111111111111111
2005-05-15,3,9,1
2005-05-15,NA,0,0
2005-06-15,3,5,0.5555555555555556
2005-06-15,13,4,0.4444444444444444
2005-06-15,NA,0,0
2005-07-15,3,2,0.2222222222222222
2005-07-15,13,7,0.7777777777777778
2005-07-15,NA,0,0
2005-08-15,5,9,1
2005-08-15,NA,0,0
2005-09-15,3,2,0.2222222222222222
2005-09-15,5,3,0.3333333333333333
2005-09-15,13,4,0.4444444444444444
2005-09-15,NA,0,0
2005-10-15,3,8,0.8888888888888888
2005-10-15,13,1,0.1111111111111111
2005-10-15,NA,0,0
2005-11-15,3,8,0.8888888888888888
2005-11-15,15,1,0.1111111111111111
2005-11-15,NA,0,0
2005-12-15,3,1,0.1111111111111111
2005-12-15,7,8,0.8888888888888888
2005-12-15,NA,0,0
2006-01-15,7,9,1
2006-01-15,NA,0,0
2006-02-15,3,2,0.2222222222222222
2006-02-15,7,4,0.4444444444444444
2006-02-15,15,2,0.2222222222222222
2006-02-15,NA,1,0.1111111111111111
2006-03-15,7,9,1
2006-03-15,NA,0,0
2006-04-15,3,1,0.1111111111111111
2006-04-15,7,8,0.8888888888888888
2006-04-15,NA,0,0
2006-05-15,3,5,0.5555555555555556
2006-05-15,13,4,0.4444444444444444
2006-05-15,NA,0,0
2006-06-15,13,5,0.5555555555555556
2006-06-15,NA,4,0.4444444444444444
2006-07-15,3,2,0.2222222222222222
2006-07-15,13,7,0.7777777777777778
2006-07-15,NA,0,0
2006-08-15,5,6,0.6666666666666666
2006-08-15,13,3,0.3333333333333333
2006-08-15,NA,0,0
2006-09-15,5,4,0.4444444444444444
2006-09-15,13,5,0.5555555555555556
2006-09-15,NA,0,0
2006-10-15,3,8,0.8888888888888888
2006-10-15,13,1,0.1111111111111111
2006-10-15,NA,0,0
2006-11-15,3,9,1
2006-11-15,NA,0,0
2006-12-15,3,2,0.2222222222222222
2006-12-15,7,7,0.7777777777777778
2006-12-15,NA,0,0
2007-01-15,3,2,0.2222222222222222
2007-01-15,7,7,0.7777777777777778
