date,cellvalue,n_cells,pct_cells
2003-01-15,3,4853,0.478128078817734
2003-01-15,5,189,0.018620689655172412
2003-01-15,7,4407,0.4341871921182266
2003-01-15,11,4,3.9408866995073894e-4
2003-01-15,13,240,0.023645320197044337
2003-01-15,14,22,0.002167487684729064
2003-01-15,15,95,0.00935960591133005
2003-01-15,16,23,0.002266009852216749
2003-01-15,17,9,8.866995073891626e-4
2003-01-15,NA,308,0.030344827586206897
2003-02-15,3,4272,0.42088669950738916
2003-02-15,7,4823,0.47517241379310343
2003-02-15,11,4,3.9408866995073894e-4
2003-02-15,13,245,0.02413793103448276
2003-02-15,14,3,2.9556650246305416e-4
2003-02-15,15,213,0.020985221674876847
2003-02-15,17,31,0.0030541871921182266
2003-02-15,NA,559,0.05507389162561576
2003-03-15,3,3674,0.3619704433497537
2003-03-15,5,47,0.004630541871921182
2003-03-15,7,4532,0.44650246305418717
2003-03-15,11,3,2.9556650246305416e-4
2003-03-15,13,610,0.060098522167487685
2003-03-15,14,47,0.004630541871921182
2003-03-15,15,364,0.03586206896551724
2003-03-15,16,71,0.0069950738916256154
2003-03-15,17,39,0.0038423645320197044
2003-03-15,23,1,9.852216748768474e-5
2003-03-15,27,3,2.9556650246305416e-4
2003-03-15,NA,759,0.0747783251231527
2003-04-15,3,1898,0.18699507389162562
2003-04-15,5,382,0.037635467980295566
2003-04-15,7,3411,0.3360591133004926
2003-04-15,11,2,1.9704433497536947e-4
2003-04-15,13,872,0.08591133004926109
2003-04-15,14,596,0.0587192118226601
2003-04-15,15,440,0.04334975369458128
2003-04-15,16,3,2.9556650246305416e-4
2003-04-15,17,86,0.008472906403940886
2003-04-15,18,1,9.852216748768474e-5
2003-04-15,27,4,3.9408866995073894e-4
2003-04-15,NA,2455,0.241871921182266
2003-05-15,3,2013,0.19832512315270936
2003-05-15,5,679,0.06689655172413793
2003-05-15,7,2144,0.21123152709359605
2003-05-15,13,2136,0.21044334975369458
2003-05-15,14,732,0.07211822660098523
2003-05-15,15,147,0.014482758620689656
2003-05-15,16,92,0.009064039408866995
2003-05-15,17,20,0.0019704433497536944
2003-05-15,18,3,2.9556650246305416e-4
2003-05-15,21,117,0.011527093596059114
2003-05-15,23,2,1.9704433497536947e-4
2003-05-15,27,4,3.9408866995073894e-4
2003-05-15,NA,2061,0.20305418719211824
2003-06-15,3,886,0.08729064039408867
2003-06-15,5,2911,0.28679802955665024
2003-06-15,7,2864,0.28216748768472905
2003-06-15,13,1545,0.1522167487684729
2003-06-15,14,653,0.06433497536945813
2003-06-15,15,148,0.01458128078817734
2003-06-15,17,39,0.0038423645320197044
2003-06-15,21,26,0.0025615763546798028
2003-06-15,NA,1078,0.10620689655172413
2003-07-15,3,2161,0.2129064039408867
2003-07-15,5,4448,0.43822660098522165
2003-07-15,7,799,0.0787192118226601
