date,cellvalue,n_cells,pct_cells
2003-01-15,3,1,8.561643835616438e-4
2003-01-15,4,23,0.019691780821917807
2003-01-15,5,1,8.561643835616438e-4
2003-01-15,8,391,0.3347602739726027
2003-01-15,10,508,0.4349315068493151
2003-01-15,15,2,0.0017123287671232876
2003-01-15,17,1,8.561643835616438e-4
2003-01-15,21,1,8.561643835616438e-4
2003-01-15,NA,240,0.2054794520547945
2003-02-15,4,30,0.025684931506849314
2003-02-15,8,319,0.2731164383561644
2003-02-15,10,567,0.4854452054794521
2003-02-15,17,2,0.0017123287671232876
2003-02-15,NA,250,0.21404109589041095
2003-03-15,3,98,0.0839041095890411
2003-03-15,4,96,0.0821917808219178
2003-03-15,8,67,0.05736301369863014
2003-03-15,9,47,0.04023972602739726
2003-03-15,10,502,0.4297945205479452
2003-03-15,15,2,0.0017123287671232876
2003-03-15,17,3,0.0025684931506849314
2003-03-15,21,1,8.561643835616438e-4
2003-03-15,NA,352,0.3013698630136986
2003-04-15,3,8,0.00684931506849315
2003-04-15,4,842,0.7208904109589042
2003-04-15,8,178,0.1523972602739726
2003-04-15,9,2,0.0017123287671232876
2003-04-15,10,109,0.09332191780821918
2003-04-15,13,1,8.561643835616438e-4
2003-04-15,15,2,0.0017123287671232876
2003-04-15,17,1,8.561643835616438e-4
2003-04-15,NA,25,0.021404109589041095
2003-05-15,3,4,0.003424657534246575
2003-05-15,4,729,0.6241438356164384
2003-05-15,8,20,0.017123287671232876
2003-05-15,10,410,0.351027397260274
2003-05-15,15,1,8.561643835616438e-4
2003-05-15,NA,4,0.003424657534246575
2003-06-15,3,3,0.0025684931506849314
2003-06-15,4,1157,0.990582191780822
2003-06-15,8,4,0.003424657534246575
2003-06-15,10,2,0.0017123287671232876
2003-06-15,15,1,8.561643835616438e-4
2003-06-15,NA,1,8.561643835616438e-4
2003-07-15,3,149,0.12756849315068494
2003-07-15,4,783,0.6703767123287672
2003-07-15,8,90,0.07705479452054795
2003-07-15,10,12,0.010273972602739725
2003-07-15,15,1,8.561643835616438e-4
2003-07-15,17,1,8.561643835616438e-4
2003-07-15,NA,132,0.11301369863013698
2003-08-15,3,2,0.0017123287671232876
2003-08-15,4,1015,0.8690068493150684
2003-08-15,8,23,0.019691780821917807
2003-08-15,10,102,0.08732876712328767
2003-08-15,NA,26,0.02226027397260274
2003-09-15,4,197,0.16866438356164384
2003-09-15,8,332,0.2842465753424658
2003-09-15,10,588,0.5034246575342466
2003-09-15,15,3,0.0025684931506849314
2003-09-15,17,6,0.005136986301369863
2003-09-15,NA,42,0.03595890410958904
2003-10-15,4,2,0.0017123287671232876
2003-10-15,5,1,8.561643835616438e-4
2003-10-15,8,39,0.03339041095890411
2003-10-15,10,964,0.8253424657534246
2003-10-15,NA,162,0.1386986301369863
2003-11-15,4,3,0.0025684931506849314
2003-11-15,5,1,8.561643835616438e-4
2003-11-15,8,32,0.0273972602739726
2003-11-15,10,607,0.5196917808219178
2003-11-15,NA,525,0.449486301369863
2003-12-15,8,51,0.04366438356164384
2003-12-15,10,917,0.7851027397260274
2003-12-15,NA,200,0.17123287671232876
2004-01-15,3,2,0.0017123287671232876
2004-01-15,4,164,0.1404109589041096
2004-01-15,5,23,0.019691780821917807
2004-01-15,8,171,0.1464041095890411
2004-01-15,10,770,0.6592465753424658
2004-01-15,17,1,8.561643835616438e-4
2004-01-15,NA,37,0.031678082191780824
2004-02-15,4,4,0.003424657534246575
2004-02-15,8,118,0.10102739726027397
2004-02-15,10,880,0.7534246575342466
2004-02-15,17,1,8.561643835616438e-4
2004-02-15,NA,165,0.14126712328767124
2004-03-15,8,50,0.04280821917808219
2004-03-15,10,426,0.3647260273972603
2004-03-15,NA,692,0.5924657534246576
2004-04-15,4,4,0.003424657534246575
2004-04-15,8,186,0.15924657534246575
2004-04-15,10,842,0.7208904109589042
2004-04-15,NA,136,0.11643835616438356
2004-05-15,4,133,0.11386986301369863
2004-05-15,5,1,8.561643835616438e-4
2004-05-15,10,1030,0.8818493150684932
2004-05-15,15,3,0.0025684931506849314
2004-05-15,NA,1,8.561643835616438e-4
2004-06-15,4,501,0.4289383561643836
2004-06-15,8,20,0.017123287671232876
2004-06-15,10,645,0.5522260273972602
2004-06-15,NA,2,0.0017123287671232876
2004-07-15,3,4,0.003424657534246575
2004-07-15,4,1013,0.8672945205479452
2004-07-15,8,56,0.04794520547945205
2004-07-15,10,27,0.023116438356164382
2004-07-15,NA,68,0.05821917808219178
2004-08-15,3,1,8.561643835616438e-4
2004-08-15,4,404,0.3458904109589041
2004-08-15,5,5,0.004280821917808219
2004-08-15,8,34,0.02910958904109589
2004-08-15,10,720,0.6164383561643836
2004-08-15,15,1,8.561643835616438e-4
2004-08-15,NA,3,0.0025684931506849314
2004-09-15,4,9,0.007705479452054794
2004-09-15,8,417,0.3570205479452055
2004-09-15,10,301,0.2577054794520548
2004-09-15,17,3,0.0025684931506849314
2004-09-15,NA,438,0.375
2004-10-15,4,7,0.0059931506849315065
2004-10-15,8,134,0.11472602739726027
2004-10-15,10,964,0.8253424657534246
2004-10-15,15,2,0.0017123287671232876
2004-10-15,NA,61,0.052226027397260275
2004-11-15,5,1,8.561643835616438e-4
2004-11-15,8,38,0.032534246575342464
2004-11-15,10,1021,0.8741438356164384
2004-11-15,13,2,0.0017123287671232876
2004-11-15,NA,106,0.09075342465753425
2004-12-15,5,1,8.561643835616438e-4
2004-12-15,8,46,0.039383561643835614
