date,cellvalue,n_cells,pct_cells
2003-01-15,7,28,0.9655172413793104
2003-01-15,NA,1,0.034482758620689655
2003-02-15,3,10,0.3448275862068966
2003-02-15,7,15,0.5172413793103449
2003-02-15,NA,4,0.13793103448275862
2003-03-15,7,27,0.9310344827586207
2003-03-15,15,1,0.034482758620689655
2003-03-15,NA,1,0.034482758620689655
2003-04-15,3,12,0.41379310344827586
2003-04-15,7,15,0.5172413793103449
2003-04-15,NA,2,0.06896551724137931
2003-05-15,7,27,0.9310344827586207
2003-05-15,NA,2,0.06896551724137931
2003-06-15,3,22,0.7586206896551724
2003-06-15,13,3,0.10344827586206896
2003-06-15,15,2,0.06896551724137931
2003-06-15,NA,2,0.06896551724137931
2003-07-15,3,7,0.2413793103448276
2003-07-15,5,1,0.034482758620689655
2003-07-15,13,18,0.6206896551724138
2003-07-15,NA,3,0.10344827586206896
2003-08-15,3,18,0.6206896551724138
2003-08-15,5,9,0.3103448275862069
2003-08-15,NA,2,0.06896551724137931
2003-09-15,3,12,0.41379310344827586
2003-09-15,5,15,0.5172413793103449
2003-09-15,NA,2,0.06896551724137931
2003-10-15,3,24,0.8275862068965517
2003-10-15,15,1,0.034482758620689655
2003-10-15,NA,4,0.13793103448275862
2003-11-15,3,24,0.8275862068965517
2003-11-15,15,2,0.06896551724137931
2003-11-15,NA,3,0.10344827586206896
2003-12-15,3,3,0.10344827586206896
2003-12-15,7,21,0.7241379310344828
2003-12-15,15,1,0.034482758620689655
2003-12-15,NA,4,0.13793103448275862
2004-01-15,3,8,0.27586206896551724
2004-01-15,7,6,0.20689655172413793
2004-01-15,15,10,0.3448275862068966
2004-01-15,NA,5,0.1724137931034483
2004-02-15,3,8,0.27586206896551724
2004-02-15,7,12,0.41379310344827586
2004-02-15,NA,9,0.3103448275862069
2004-03-15,3,25,0.8620689655172413
2004-03-15,7,2,0.06896551724137931
2004-03-15,NA,2,0.06896551724137931
2004-04-15,NA,29,1
2004-05-15,3,10,0.3448275862068966
2004-05-15,13,14,0.4827586206896552
2004-05-15,NA,5,0.1724137931034483
2004-06-15,3,21,0.7241379310344828
2004-06-15,13,3,0.10344827586206896
2004-06-15,NA,5,0.1724137931034483
2004-07-15,3,5,0.1724137931034483
2004-07-15,13,22,0.7586206896551724
2004-07-15,NA,2,0.06896551724137931
2004-08-15,3,15,0.5172413793103449
2004-08-15,5,2,0.06896551724137931
2004-08-15,13,10,0.3448275862068966
2004-08-15,NA,2,0.06896551724137931
2004-09-15,3,2,0.06896551724137931
2004-09-15,5,13,0.4482758620689655
2004-09-15,13,13,0.4482758620689655
2004-09-15,NA,1,0.034482758620689655
2004-10-15,3,7,0.2413793103448276
2004-10-15,5,2,0.06896551724137931
2004-10-15,15,4,0.13793103448275862
2004-10-15,NA,16,0.5517241379310345
2004-11-15,3,25,0.8620689655172413
2004-11-15,15,3,0.10344827586206896
2004-11-15,NA,1,0.034482758620689655
2004-12-15,3,23,0.7931034482758621
2004-12-15,7,1,0.034482758620689655
2004-12-15,17,2,0.06896551724137931
2004-12-15,NA,3,0.10344827586206896
2005-01-15,3,2,0.06896551724137931
2005-01-15,7,25,0.8620689655172413
2005-01-15,15,1,0.034482758620689655
2005-01-15,NA,1,0.034482758620689655
2005-02-15,3,16,0.5517241379310345
2005-02-15,7,10,0.3448275862068966
2005-02-15,NA,3,0.10344827586206896
2005-03-15,7,25,0.8620689655172413
2005-03-15,15,2,0.06896551724137931
2005-03-15,NA,2,0.06896551724137931
2005-04-15,3,24,0.8275862068965517
2005-04-15,7,3,0.10344827586206896
2005-04-15,NA,2,0.06896551724137931
2005-05-15,3,26,0.896551724137931
2005-05-15,13,1,0.034482758620689655
2005-05-15,NA,2,0.06896551724137931
2005-06-15,3,11,0.3793103448275862
2005-06-15,13,14,0.4827586206896552
2005-06-15,NA,4,0.13793103448275862
2005-07-15,3,2,0.06896551724137931
2005-07-15,13,25,0.8620689655172413
2005-07-15,NA,2,0.06896551724137931
2005-08-15,3,3,0.10344827586206896
2005-08-15,5,8,0.27586206896551724
2005-08-15,13,15,0.5172413793103449
2005-08-15,NA,3,0.10344827586206896
2005-09-15,3,1,0.034482758620689655
2005-09-15,5,23,0.7931034482758621
2005-09-15,13,3,0.10344827586206896
2005-09-15,NA,2,0.06896551724137931
2005-10-15,3,25,0.8620689655172413
2005-10-15,13,1,0.034482758620689655
2005-10-15,NA,3,0.10344827586206896
2005-11-15,3,27,0.9310344827586207
2005-11-15,NA,2,0.06896551724137931
2005-12-15,3,20,0.6896551724137931
2005-12-15,7,5,0.1724137931034483
2005-12-15,13,1,0.034482758620689655
2005-12-15,15,2,0.06896551724137931
2005-12-15,NA,1,0.034482758620689655
2006-01-15,3,5,0.1724137931034483
2006-01-15,7,17,0.5862068965517241
2006-01-15,15,3,0.10344827586206896
2006-01-15,NA,4,0.13793103448275862
2006-02-15,3,17,0.5862068965517241
2006-02-15,7,11,0.3793103448275862
2006-02-15,NA,1,0.034482758620689655
2006-03-15,7,25,0.8620689655172413
2006-03-15,15,2,0.06896551724137931
