date,cellvalue,n_cells,pct_cells
2003-01-15,3,1,0.0021598272138228943
2003-01-15,7,462,0.9978401727861771
2003-01-15,NA,0,0
2003-02-15,3,201,0.43412526997840173
2003-02-15,7,234,0.5053995680345572
2003-02-15,15,25,0.05399568034557235
2003-02-15,NA,3,0.0064794816414686825
2003-03-15,3,276,0.5961123110151187
2003-03-15,7,184,0.39740820734341253
2003-03-15,17,1,0.0021598272138228943
2003-03-15,NA,2,0.004319654427645789
2003-04-15,3,20,0.04319654427645788
2003-04-15,7,161,0.34773218142548595
2003-04-15,11,1,0.0021598272138228943
2003-04-15,13,9,0.019438444924406047
2003-04-15,15,78,0.16846652267818574
2003-04-15,17,14,0.03023758099352052
2003-04-15,27,2,0.004319654427645789
2003-04-15,NA,178,0.38444924406047515
2003-05-15,3,141,0.3045356371490281
2003-05-15,7,220,0.47516198704103674
2003-05-15,13,39,0.08423326133909287
2003-05-15,14,3,0.0064794816414686825
2003-05-15,15,52,0.11231101511879049
2003-05-15,17,6,0.012958963282937365
2003-05-15,NA,2,0.004319654427645789
2003-06-15,3,179,0.38660907127429806
2003-06-15,13,244,0.5269978401727862
2003-06-15,17,8,0.017278617710583154
2003-06-15,NA,32,0.06911447084233262
2003-07-15,3,92,0.19870410367170627
2003-07-15,5,251,0.5421166306695464
2003-07-15,13,115,0.24838012958963282
2003-07-15,NA,5,0.01079913606911447
2003-08-15,3,45,0.09719222462203024
2003-08-15,5,166,0.35853131749460043
2003-08-15,13,239,0.5161987041036717
2003-08-15,NA,13,0.028077753779697623
2003-09-15,3,230,0.49676025917926564
2003-09-15,5,220,0.47516198704103674
2003-09-15,13,12,0.02591792656587473
2003-09-15,NA,1,0.0021598272138228943
2003-10-15,3,419,0.9049676025917927
2003-10-15,5,27,0.058315334773218146
2003-10-15,13,17,0.0367170626349892
2003-10-15,NA,0,0
2003-11-15,3,272,0.5874730021598272
2003-11-15,5,1,0.0021598272138228943
2003-11-15,7,158,0.3412526997840173
2003-11-15,11,14,0.03023758099352052
2003-11-15,13,3,0.0064794816414686825
2003-11-15,15,15,0.032397408207343416
2003-11-15,NA,0,0
2003-12-15,3,143,0.30885529157667385
2003-12-15,7,208,0.44924406047516197
2003-12-15,11,25,0.05399568034557235
2003-12-15,15,52,0.11231101511879049
2003-12-15,NA,35,0.0755939524838013
2004-01-15,3,12,0.02591792656587473
2004-01-15,7,441,0.9524838012958964
2004-01-15,15,7,0.01511879049676026
2004-01-15,NA,3,0.0064794816414686825
2004-02-15,3,383,0.8272138228941684
2004-02-15,7,75,0.16198704103671707
2004-02-15,15,2,0.004319654427645789
2004-02-15,NA,3,0.0064794816414686825
2004-03-15,3,228,0.4924406047516199
2004-03-15,7,213,0.46004319654427644
2004-03-15,13,1,0.0021598272138228943
2004-03-15,15,1,0.0021598272138228943
2004-03-15,17,2,0.004319654427645789
2004-03-15,NA,18,0.038876889848812095
2004-04-15,3,72,0.15550755939524838
2004-04-15,7,311,0.67170626349892
2004-04-15,15,69,0.1490280777537797
2004-04-15,17,7,0.01511879049676026
2004-04-15,NA,4,0.008639308855291577
2004-05-15,3,352,0.7602591792656588
2004-05-15,7,2,0.004319654427645789
2004-05-15,13,48,0.10367170626349892
