date,cellvalue,n_cells,pct_cells
2003-01-15,3,310,0.3202479338842975
2003-01-15,7,441,0.4555785123966942
2003-01-15,11,11,0.011363636363636364
2003-01-15,13,5,0.005165289256198347
2003-01-15,15,74,0.07644628099173553
2003-01-15,17,4,0.004132231404958678
2003-01-15,NA,123,0.12706611570247933
2003-02-15,3,446,0.4607438016528926
2003-02-15,7,451,0.4659090909090909
2003-02-15,13,1,0.0010330578512396695
2003-02-15,15,14,0.014462809917355372
2003-02-15,17,3,0.0030991735537190084
2003-02-15,NA,53,0.05475206611570248
2003-03-15,3,327,0.3378099173553719
2003-03-15,7,405,0.41838842975206614
2003-03-15,13,6,0.006198347107438017
2003-03-15,14,12,0.012396694214876033
2003-03-15,15,45,0.04648760330578512
2003-03-15,17,16,0.01652892561983471
2003-03-15,NA,157,0.1621900826446281
2003-04-15,3,268,0.2768595041322314
2003-04-15,7,304,0.3140495867768595
2003-04-15,13,8,0.008264462809917356
2003-04-15,14,9,0.009297520661157025
2003-04-15,15,25,0.025826446280991736
2003-04-15,16,3,0.0030991735537190084
2003-04-15,17,22,0.022727272727272728
2003-04-15,NA,329,0.33987603305785125
2003-05-15,3,254,0.26239669421487605
2003-05-15,5,9,0.009297520661157025
2003-05-15,7,189,0.1952479338842975
2003-05-15,13,133,0.13739669421487602
2003-05-15,14,100,0.10330578512396695
2003-05-15,15,49,0.0506198347107438
2003-05-15,17,5,0.005165289256198347
2003-05-15,21,44,0.045454545454545456
2003-05-15,NA,185,0.19111570247933884
2003-06-15,3,181,0.18698347107438015
2003-06-15,5,186,0.1921487603305785
2003-06-15,7,95,0.0981404958677686
2003-06-15,13,249,0.2572314049586777
2003-06-15,14,18,0.01859504132231405
2003-06-15,15,1,0.0010330578512396695
2003-06-15,17,5,0.005165289256198347
2003-06-15,18,2,0.002066115702479339
2003-06-15,NA,231,0.23863636363636365
2003-07-15,3,377,0.3894628099173554
2003-07-15,5,319,0.32954545454545453
2003-07-15,13,210,0.21694214876033058
2003-07-15,15,7,0.007231404958677686
2003-07-15,18,4,0.004132231404958678
2003-07-15,NA,51,0.05268595041322314
2003-08-15,3,273,0.28202479338842973
2003-08-15,5,447,0.4617768595041322
2003-08-15,13,233,0.24070247933884298
2003-08-15,17,1,0.0010330578512396695
2003-08-15,18,1,0.0010330578512396695
2003-08-15,NA,13,0.013429752066115703
2003-09-15,3,393,0.4059917355371901
2003-09-15,5,495,0.5113636363636364
2003-09-15,13,55,0.056818181818181816
2003-09-15,15,1,0.0010330578512396695
2003-09-15,NA,24,0.024793388429752067
2003-10-15,3,552,0.5702479338842975
